Source,Target,Subject
Adan Morlun,Henk Mies,List of repairs needed
Adan Morlun,Albina Hafon,List of repairs needed
Orhan Strum,Ingrid Barranco,RE: Yearly numbers looking good
Orhan Strum,Ada Campo-Corrente,RE: Yearly numbers looking good
Orhan Strum,Orhan Strum,RE: Yearly numbers looking good
Bertrand Ovan,Emile Arpa,Mandatory safety training
Bertrand Ovan,Varro Awelon,Mandatory safety training
Bertrand Ovan,Dante Coginian,Mandatory safety training
Bertrand Ovan,Albina Hafon,Mandatory safety training
Bertrand Ovan,Benito Hawelon,Mandatory safety training
Bertrand Ovan,Claudio Hawelon,Mandatory safety training
Bertrand Ovan,Henk Mies,Mandatory safety training
Bertrand Ovan,Valeria Morlun,Mandatory safety training
Bertrand Ovan,Adan Morlun,Mandatory safety training
Bertrand Ovan,Cecilia Morluniau,Mandatory safety training
Bertrand Ovan,Irene Nant,Mandatory safety training
Bertrand Ovan,Dylan Scozzese,Mandatory safety training
Lidelse Dedos,Axel Calzas,RE: Downhole prediction 2522-00
Lidelse Dedos,Vira Frente,RE: Downhole prediction 2522-00
Lidelse Dedos,Lidelse Dedos,RE: Downhole prediction 2522-00
Lidelse Dedos,Elsa Orilla,RE: Downhole prediction 2522-00
Cornelia Lais,Mat Bramar,Can someone cover for me next week?
Cornelia Lais,Anda Ribera,Can someone cover for me next week?
Cornelia Lais,Rachel Pantanal,Can someone cover for me next week?
Cornelia Lais,Linda Lagos,Can someone cover for me next week?
Cornelia Lais,Ruscella Mies,Can someone cover for me next week?
Cornelia Lais,Carla Forluniau,Can someone cover for me next week?
Cornelia Lais,Cornelia Lais,Can someone cover for me next week?
Rachel Pantanal,Mat Bramar,Too funy - you have to see this...
Rachel Pantanal,Anda Ribera,Too funy - you have to see this...
Rachel Pantanal,Rachel Pantanal,Too funy - you have to see this...
Rachel Pantanal,Linda Lagos,Too funy - you have to see this...
Rachel Pantanal,Ruscella Mies,Too funy - you have to see this...
Rachel Pantanal,Carla Forluniau,Too funy - you have to see this...
Rachel Pantanal,Cornelia Lais,Too funy - you have to see this...
Cornelia Lais,Hideki Cocinaro,RE: No hurry
Isak Baza,Isak Baza,RE: GT-SeismicProcessorPro Bug Report
Isak Baza,Sven Flecha,RE: GT-SeismicProcessorPro Bug Report
Mat Bramar,Rachel Pantanal,Planning for staff picnic
Mat Bramar,Lars Azada,Planning for staff picnic
Mat Bramar,Felix Balas,Planning for staff picnic
Mat Bramar,Isande Borrasca,Planning for staff picnic
Mat Bramar,Axel Calzas,Planning for staff picnic
Mat Bramar,Gustav Cazar,Planning for staff picnic
Mat Bramar,Lidelse Dedos,Planning for staff picnic
Mat Bramar,Birgitta Frente,Planning for staff picnic
Mat Bramar,Vira Frente,Planning for staff picnic
Mat Bramar,Adra Nubarron,Planning for staff picnic
Mat Bramar,Marin Onda,Planning for staff picnic
Mat Bramar,Kare Orilla,Planning for staff picnic
Mat Bramar,Elsa Orilla,Planning for staff picnic
Mat Bramar,Brand Tempestad,Planning for staff picnic
Mat Bramar,Ingrid Barranco,Planning for staff picnic
Mat Bramar,Ada Campo-Corrente,Planning for staff picnic
Mat Bramar,Sten Sanjorge Jr,Planning for staff picnic
Mat Bramar,Orhan Strum,Planning for staff picnic
Mat Bramar,Willem Vasco-Pais,Planning for staff picnic
Mat Bramar,Bertrand Ovan,Planning for staff picnic
Mat Bramar,Albina Hafon,Planning for staff picnic
Mat Bramar,Benito Hawelon,Planning for staff picnic
Mat Bramar,Claudio Hawelon,Planning for staff picnic
Mat Bramar,Henk Mies,Planning for staff picnic
Mat Bramar,Valeria Morlun,Planning for staff picnic
Mat Bramar,Adan Morlun,Planning for staff picnic
Mat Bramar,Cecilia Morluniau,Planning for staff picnic
Mat Bramar,Irene Nant,Planning for staff picnic
Mat Bramar,Dylan Scozzese,Planning for staff picnic
Mat Bramar,Lucas Alcazar,Planning for staff picnic
Mat Bramar,Isak Baza,Planning for staff picnic
Mat Bramar,Linnea Bergen,Planning for staff picnic
Mat Bramar,Nils Calixto,Planning for staff picnic
