Source,Target,Subject
Irene Nant,Irene Nant,RE: Route suggestion for next shift
Irene Nant,Cecilia Morluniau,RE: Route suggestion for next shift
Irene Nant,Dylan Scozzese,RE: Route suggestion for next shift
Cecilia Morluniau,Dylan Scozzese,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Emile Arpa,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Henk Mies,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Adan Morlun,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Valeria Morlun,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Benito Hawelon,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Albina Hafon,RE: Facilities preparations for VIP visit
Cecilia Morluniau,Claudio Hawelon,RE: Facilities preparations for VIP visit
