Source,Target,Subject
Kare Orilla,Inga Ferro,Favor - water plants please next month
Anda Ribera,Cornelia Lais,Late for meeting
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),Managing perceptions about the IPO
Willem Vasco-Pais,Sten Sanjorge Jr,Managing perceptions about the IPO
Willem Vasco-Pais,Ada Campo-Corrente,Managing perceptions about the IPO
Willem Vasco-Pais,Ingrid Barranco,Managing perceptions about the IPO
Henk Mies,Benito Hawelon,Who took the toolbox out of my truck?
Henk Mies,Albina Hafon,Who took the toolbox out of my truck?
Henk Mies,Dylan Scozzese,Who took the toolbox out of my truck?
Henk Mies,Henk Mies,Who took the toolbox out of my truck?
Henk Mies,Valeria Morlun,Who took the toolbox out of my truck?
