Source,Target,Subject
Brand Tempestad,Vira Frente,RE: Well 1033-01 stabilization progress report
Brand Tempestad,Axel Calzas,RE: Well 1033-01 stabilization progress report
Brand Tempestad,Lidelse Dedos,RE: Well 1033-01 stabilization progress report
Brand Tempestad,Adra Nubarron,RE: Well 1033-01 stabilization progress report
Brand Tempestad,Brand Tempestad,RE: Well 1033-01 stabilization progress report
Brand Tempestad,Isande Borrasca,RE: Well 1033-01 stabilization progress report
Albina Hafon,Cecilia Morluniau,RE: List of repairs needed
Albina Hafon,Benito Hawelon,RE: List of repairs needed
Albina Hafon,Albina Hafon,RE: List of repairs needed
Albina Hafon,Adan Morlun,RE: List of repairs needed
Albina Hafon,Claudio Hawelon,RE: List of repairs needed
Albina Hafon,Valeria Morlun,RE: List of repairs needed
Albina Hafon,Irene Nant,RE: List of repairs needed
Kare Orilla,Marin Onda,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Brand Tempestad,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Elsa Orilla,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Axel Calzas,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Isande Borrasca,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Birgitta Frente,RE: Wellhead flow rate data - overpressure at well 1783-03?
Kare Orilla,Kare Orilla,RE: Wellhead flow rate data - overpressure at well 1783-03?
Isak Baza,Isak Baza,RE: New hardware - advice needed?
Isak Baza,Nils Calixto,RE: New hardware - advice needed?
Henk Mies,Henk Mies,RE: Don't text and drive!
Henk Mies,Dante Coginian,RE: Don't text and drive!
Sven Flecha,Nils Calixto,RE: Draft report - comments needed by Monday
Sven Flecha,Sven Flecha,RE: Draft report - comments needed by Monday
Claudio Hawelon,Rachel Pantanal,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Lars Azada,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Felix Balas,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Isande Borrasca,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Axel Calzas,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Gustav Cazar,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Lidelse Dedos,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Birgitta Frente,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Vira Frente,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Adra Nubarron,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Marin Onda,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Kare Orilla,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Elsa Orilla,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Brand Tempestad,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Ingrid Barranco,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Ada Campo-Corrente,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Sten Sanjorge Jr,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Orhan Strum,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Willem Vasco-Pais,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Bertrand Ovan,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Albina Hafon,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Benito Hawelon,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Claudio Hawelon,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Henk Mies,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Valeria Morlun,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Adan Morlun,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Cecilia Morluniau,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Irene Nant,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Dylan Scozzese,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Lucas Alcazar,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Isak Baza,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Linnea Bergen,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Nils Calixto,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Sven Flecha,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Hideki Cocinaro,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Inga Ferro,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Loreto Bodrogi,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Isia Vann,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Stenig Fusil,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Hennie Osvaldo,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Kanon Herrero,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Varja Lagos,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Minke Mies,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Felix Resumir,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Edvard Vann,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Emile Arpa,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Varro Awelon,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Mat Bramar,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Dante Coginian,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Carla Forluniau,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Linda Lagos,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Cornelia Lais,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Ruscella Mies,RE: Reminder: Refer all media inquiries
Claudio Hawelon,Anda Ribera,RE: Reminder: Refer all media inquiries
Birgitta Frente,Isak Baza,RE: Are you buying coffee?
Axel Calzas,Rachel Pantanal,RE: Employee of the month
Axel Calzas,Lars Azada,RE: Employee of the month
Axel Calzas,Felix Balas,RE: Employee of the month
Axel Calzas,Isande Borrasca,RE: Employee of the month
Axel Calzas,Axel Calzas,RE: Employee of the month
Axel Calzas,Gustav Cazar,RE: Employee of the month
Axel Calzas,Lidelse Dedos,RE: Employee of the month
Axel Calzas,Birgitta Frente,RE: Employee of the month
Axel Calzas,Vira Frente,RE: Employee of the month
Axel Calzas,Adra Nubarron,RE: Employee of the month
Axel Calzas,Marin Onda,RE: Employee of the month
Axel Calzas,Kare Orilla,RE: Employee of the month
Axel Calzas,Elsa Orilla,RE: Employee of the month
Axel Calzas,Brand Tempestad,RE: Employee of the month
Axel Calzas,Ingrid Barranco,RE: Employee of the month
Axel Calzas,Ada Campo-Corrente,RE: Employee of the month
Axel Calzas,Sten Sanjorge Jr,RE: Employee of the month
Axel Calzas,Orhan Strum,RE: Employee of the month
Axel Calzas,Willem Vasco-Pais,RE: Employee of the month
Axel Calzas,Bertrand Ovan,RE: Employee of the month
Axel Calzas,Albina Hafon,RE: Employee of the month
Axel Calzas,Benito Hawelon,RE: Employee of the month
Axel Calzas,Claudio Hawelon,RE: Employee of the month
Axel Calzas,Henk Mies,RE: Employee of the month
Axel Calzas,Valeria Morlun,RE: Employee of the month
Axel Calzas,Adan Morlun,RE: Employee of the month
Axel Calzas,Cecilia Morluniau,RE: Employee of the month
Axel Calzas,Irene Nant,RE: Employee of the month
Axel Calzas,Dylan Scozzese,RE: Employee of the month
Axel Calzas,Lucas Alcazar,RE: Employee of the month
Axel Calzas,Isak Baza,RE: Employee of the month
Axel Calzas,Linnea Bergen,RE: Employee of the month
Axel Calzas,Nils Calixto,RE: Employee of the month
Axel Calzas,Sven Flecha,RE: Employee of the month
Axel Calzas,Hideki Cocinaro,RE: Employee of the month
Axel Calzas,Inga Ferro,RE: Employee of the month
Axel Calzas,Loreto Bodrogi,RE: Employee of the month
Axel Calzas,Isia Vann,RE: Employee of the month
Axel Calzas,Stenig Fusil,RE: Employee of the month
Axel Calzas,Hennie Osvaldo,RE: Employee of the month
Axel Calzas,Kanon Herrero,RE: Employee of the month
Axel Calzas,Varja Lagos,RE: Employee of the month
Axel Calzas,Minke Mies,RE: Employee of the month
Axel Calzas,Felix Resumir,RE: Employee of the month
Axel Calzas,Edvard Vann,RE: Employee of the month
Axel Calzas,Emile Arpa,RE: Employee of the month
Axel Calzas,Varro Awelon,RE: Employee of the month
Axel Calzas,Mat Bramar,RE: Employee of the month
Axel Calzas,Dante Coginian,RE: Employee of the month
Axel Calzas,Carla Forluniau,RE: Employee of the month
Axel Calzas,Linda Lagos,RE: Employee of the month
Axel Calzas,Cornelia Lais,RE: Employee of the month
Axel Calzas,Ruscella Mies,RE: Employee of the month
Axel Calzas,Anda Ribera,RE: Employee of the month
Claudio Hawelon,Cecilia Morluniau,RE: List of repairs needed
Claudio Hawelon,Benito Hawelon,RE: List of repairs needed
Claudio Hawelon,Albina Hafon,RE: List of repairs needed
Claudio Hawelon,Adan Morlun,RE: List of repairs needed
Claudio Hawelon,Claudio Hawelon,RE: List of repairs needed
Claudio Hawelon,Valeria Morlun,RE: List of repairs needed
Claudio Hawelon,Irene Nant,RE: List of repairs needed
Mat Bramar,Mat Bramar,RE: Coupon club
Mat Bramar,Anda Ribera,RE: Coupon club
Mat Bramar,Rachel Pantanal,RE: Coupon club
Mat Bramar,Linda Lagos,RE: Coupon club
Mat Bramar,Ruscella Mies,RE: Coupon club
Mat Bramar,Carla Forluniau,RE: Coupon club
Mat Bramar,Cornelia Lais,RE: Coupon club
Irene Nant,Cecilia Morluniau,RE: List of repairs needed
Irene Nant,Benito Hawelon,RE: List of repairs needed
Irene Nant,Albina Hafon,RE: List of repairs needed
Irene Nant,Adan Morlun,RE: List of repairs needed
Irene Nant,Claudio Hawelon,RE: List of repairs needed
Irene Nant,Valeria Morlun,RE: List of repairs needed
Irene Nant,Irene Nant,RE: List of repairs needed
Linda Lagos,Mat Bramar,RE: Catering?!?
Linda Lagos,Anda Ribera,RE: Catering?!?
Linda Lagos,Rachel Pantanal,RE: Catering?!?
Linda Lagos,Linda Lagos,RE: Catering?!?
