Source,Target,Subject
Isande Borrasca,Elsa Orilla,RE: 2516-00 openhole logging results
Isande Borrasca,Kare Orilla,RE: 2516-00 openhole logging results
Isande Borrasca,Isande Borrasca,RE: 2516-00 openhole logging results
Isande Borrasca,Birgitta Frente,RE: 2516-00 openhole logging results
Isande Borrasca,Gustav Cazar,RE: 2516-00 openhole logging results
Isande Borrasca,Lars Azada,RE: 2516-00 openhole logging results
Isande Borrasca,Lidelse Dedos,RE: 2516-00 openhole logging results
Mat Bramar,Varro Awelon,Need a ride to lunch later
Sten Sanjorge Jr (tethys),Ingrid Barranco,Reception after the corporate meeting Monday morning
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,Reception after the corporate meeting Monday morning
Axel Calzas,Varja Lagos,RE: Out of staples
Albina Hafon,Benito Hawelon,RE: Funny!!
Albina Hafon,Albina Hafon,RE: Funny!!
Albina Hafon,Benito Hawelon,RE: Funny!!
Albina Hafon,Albina Hafon,RE: Funny!!
Minke Mies,Adra Nubarron,Awwww- cute!
Brand Tempestad,Lidelse Dedos,Downhole logging scheduled for 2516-00
Brand Tempestad,Lars Azada,Downhole logging scheduled for 2516-00
Brand Tempestad,Vira Frente,Downhole logging scheduled for 2516-00
Brand Tempestad,Kare Orilla,Downhole logging scheduled for 2516-00
Isia Vann,Rachel Pantanal,Still busy?
Lucas Alcazar,Emile Arpa,RE: Copier
